,Unnamed: 0,precision_wn,recall_wn,precision_cn,recall_cn
39,39,0.5,1.0,0.5,1.0
40,40,1.0,1.0,1.0,1.0
41,41,1.0,1.0,1.0,1.0
42,42,1.0,1.0,1.0,1.0
43,43,1.0,1.0,1.0,1.0
44,44,1.0,0.25,1.0,1.0
45,45,1.0,0.3333333333333333,1.0,1.0
46,46,1.0,1.0,1.0,1.0
47,47,0.5,0.08391608391608392,0.5,1.0
48,48,1.0,1.0,1.0,1.0
49,49,1.0,1.0,1.0,1.0
50,50,1.0,1.0,1.0,1.0
51,51,1.0,0.25,1.0,1.0
52,52,1.0,0.09090909090909093,1.0,1.0
53,53,1.0,1.0,1.0,1.0
54,54,0.5,0.75,0.5,1.0
55,55,1.0,1.0,1.0,1.0
56,56,1.0,0.16666666666666666,1.0,1.0
57,57,1.0,1.0,1.0,1.0
58,58,1.0,1.0,1.0,1.0
59,59,1.0,1.0,1.0,1.0
60,60,1.0,1.0,1.0,1.0
61,61,1.0,1.0,1.0,1.0
62,62,1.0,1.0,1.0,1.0
63,63,1.0,1.0,1.0,1.0
64,64,1.0,1.0,1.0,1.0
65,65,1.0,0.1,1.0,1.0
66,66,1.0,1.0,1.0,1.0
67,67,1.0,0.125,1.0,1.0
68,68,1.0,1.0,1.0,1.0
69,69,0.5,0.29166666666666663,0.5,1.0
70,70,1.0,1.0,1.0,1.0
71,71,1.0,1.0,1.0,1.0
72,72,1.0,1.0,1.0,1.0
73,73,1.0,1.0,1.0,1.0
74,74,1.0,0.16666666666666666,1.0,1.0
75,75,1.0,1.0,1.0,1.0
76,76,1.0,0.1111111111111111,1.0,1.0
77,77,1.0,0.07692307692307693,1.0,1.0
78,78,1.0,0.2,1.0,1.0
79,79,0.3333333333333333,1.0,0.3333333333333333,1.0
80,80,1.0,1.0,1.0,1.0
81,81,1.0,1.0,1.0,1.0
82,82,1.0,1.0,1.0,1.0
83,83,1.0,1.0,1.0,1.0
84,84,1.0,1.0,1.0,1.0
85,85,1.0,0.25,1.0,1.0
86,86,1.0,0.2,1.0,1.0
87,87,1.0,1.0,1.0,1.0
88,88,1.0,0.04166666666666666,1.0,1.0
89,89,0.5,1.0,0.5,1.0
90,90,1.0,1.0,1.0,1.0
91,91,0.75,1.0,0.5,1.0
92,92,0.5,1.0,0.5,1.0
93,93,1.0,0.5,1.0,1.0
94,94,1.0,0.2,1.0,1.0
95,95,1.0,1.0,1.0,1.0
